feature,gain,rank
sp_fip_gap,25.17966651916504,1
sp_siera_gap,13.774656295776367,2
sp_xera_gap,10.220398902893066,3
team_wrcplus_gap,9.919666290283203,4
sp_k_bb_pct_gap,9.3549165725708,5
team_woba_gap,9.037790298461914,6
hl_bullpen_xwoba_gap,8.920425415039062,7
swing_take_gap,8.818937301635742,8
home_roof_type,8.645119667053223,9
bullpen_bb_pct_gap,8.469233512878418,10
lineup_vs_sp_gap,8.190524101257324,11
lineup_wrcplus_gap,7.961551666259766,12
away_sp_stuff_plus,7.862541675567627,13
sp_xwoba_allowed_gap,7.763172149658203,14
hl_bullpen_xera_gap,7.724186897277832,15
precip_prob,7.566390037536621,16
away_sp_n_pitches,7.282902240753174,17
away_catcher_penalty,7.191761493682861,18
bullpen_hardhit_gap,7.139848232269287,19
home_sp_location_plus,7.139699935913086,20
home_lineup_n_vs_hand,7.1129150390625,21
sp_stuff_plus_gap,7.106666088104248,22
away_sp_location_plus,7.067555904388428,23
lineup_hardhit_gap,6.880142688751221,24
bullpen_k_pct_gap,6.77290153503418,25
sp_recent_form_gap,6.6995697021484375,26
home_catcher_penalty,6.687896251678467,27
humidity_pct,6.684985160827637,28
park_hr_factor,6.680779933929443,29
bullpen_fatigue_gap,6.671370506286621,30
sp_velo_drop_gap,6.647795677185059,31
home_lineup_wrc_plus,6.643821716308594,32
team_bbk_gap,6.635708808898926,33
sp_ttop3_penalty_gap,6.628585338592529,34
sp_sample_reliability,6.615625858306885,35
home_sp_n_pitches,6.609777927398682,36
sp_location_plus_gap,6.605626106262207,37
sp_hardhit_gap,6.591526031494141,38
away_bullpen_n_pitches,6.548826217651367,39
bullpen_siera_gap,6.546990871429443,40
away_lineup_n_vs_hand,6.501692771911621,41
home_lineup_xwoba,6.500898838043213,42
team_hardhit_gap,6.441254615783691,43
home_hl_bullpen_n_pitches,6.374723434448242,44
home_bullpen_n_pitches,6.362555980682373,45
away_lineup_wrc_plus,6.359287738800049,46
away_hl_bullpen_n_pitches,6.328460693359375,47
home_sp_luck,6.278802394866943,48
tz_diff,6.264158725738525,49
sp_stamina_gap,6.257080554962158,50
sp_rest_gap,6.25469970703125,51
home_sp_stuff_plus,6.251515865325928,52
temp_f,6.12476110458374,53
away_lineup_xwoba,6.074640274047852,54
away_sp_luck,6.064048767089844,55
dow_cos,5.794953346252441,56
dow_sin,5.694183826446533,57
wind_out_mph,5.6131672859191895,58
wind_dir_park,5.60530424118042,59
sp_vs_lineup_gap,5.533429145812988,60
park_runs_factor,5.505450248718262,61
bullpen_xwoba_gap,5.138297080993652,62
is_divisional,3.7240536212921143,63
