game_pk,matchup,side,sp_name,sp_id,n_pitches,stuff_plus,location_plus,pitching_plus_06_04,source
824445,TB @ CLE,home,Gavin Williams,668909,1058,100.75167083740234,99.07915496826172,100.0826644897461,2026 YTD (n=1058)
824445,TB @ CLE,away,Drew Rasmussen,656876,816,102.50882720947266,99.01879119873047,101.11281280517578,2026 YTD (n=816)
824608,LAA @ CHW,home,Erick Fedde,607200,883,100.02411651611328,99.1937484741211,99.69196929931641,2026 YTD (n=883)
824608,LAA @ CHW,away,Yusei Kikuchi,579328,835,99.72314453125,97.93508911132812,99.00792236328124,2026 YTD (n=835)
823717,SEA @ MIN,home,Taj Bradley,671737,1171,100.9708480834961,97.91410827636719,99.74815216064454,2026 YTD (n=1171)
823717,SEA @ MIN,away,George Kirby,669923,1068,101.18761444091797,99.42990112304688,100.48452911376953,2026 YTD (n=1068)
822907,NYY @ TEX,home,Nathan Eovaldi,543135,1026,102.42379760742188,99.3836669921875,101.20774536132812,2026 YTD (n=1026)
822907,NYY @ TEX,away,Elmer Rodríguez,695684,0,100.0,100.0,100.0,league_mean (no cache match)
822821,BOS @ TOR,home,Eric Lauer,641778,894,97.53022003173828,98.53238677978516,97.93108673095703,2026 YTD (n=894)
822821,BOS @ TOR,away,Brayan Bello,678394,815,100.62738800048828,98.32072448730469,99.70472259521485,2026 YTD (n=815)
823958,MIA @ LAD,home,Tyler Glasnow,607192,1071,102.17162322998047,97.82572937011719,100.43326568603516,2026 YTD (n=1071)
823958,MIA @ LAD,away,Sandy Alcantara,645261,1169,102.22489929199219,99.57682037353516,101.16566772460936,2026 YTD (n=1169)
823312,CHC @ SD,home,Matt Waldron,663362,366,99.04035186767578,100.0686264038086,99.4516616821289,2026 YTD (n=366)
823312,CHC @ SD,away,Jameson Taillon,592791,976,101.30359649658203,99.6919937133789,100.65895538330079,2026 YTD (n=976)
824525,COL @ CIN,home,Brandon Williamson,682227,1093,99.40896606445312,97.26802062988281,98.552587890625,2026 YTD (n=1093)
824525,COL @ CIN,away,Tomoyuki Sugano,608372,0,100.0,100.0,100.0,league_mean (no cache match)
823392,STL @ PIT,home,Bubba Chandler,696149,0,100.0,100.0,100.0,league_mean (no cache match)
823392,STL @ PIT,away,Andre Pallante,669467,898,98.76426696777344,98.01364135742188,98.46401672363282,2026 YTD (n=898)
823633,WSH @ NYM,home,David Peterson,656849,1227,101.83183288574219,98.12049102783203,100.34729614257813,2026 YTD (n=1227)
823633,WSH @ NYM,away,Cade Cavalli,676917,0,100.0,100.0,100.0,league_mean (no cache match)
824930,DET @ ATL,home,JR Ritchie,702275,0,100.0,100.0,100.0,league_mean (no cache match)
824930,DET @ ATL,away,Tarik Skubal,669373,1065,103.26319122314453,99.4255142211914,101.72812042236328,2026 YTD (n=1065)
823796,ARI @ MIL,home,Brandon Sproat,687075,0,100.0,100.0,100.0,league_mean (no cache match)
823796,ARI @ MIL,away,Eduardo Rodriguez,593958,1113,101.10972595214844,99.17921447753906,100.33752136230468,2026 YTD (n=1113)
825015,KC @ OAK,home,Luis Severino,622663,1135,102.538818359375,98.8920669555664,101.08011779785156,2026 YTD (n=1135)
825015,KC @ OAK,away,Michael Wacha,608379,1110,99.43003845214844,98.72016143798828,99.14608764648438,2026 YTD (n=1110)
823471,SF @ PHI,home,Cristopher Sánchez,650911,909,102.48612213134766,98.56942749023438,100.91944427490235,2026 YTD (n=909)
823471,SF @ PHI,away,Logan Webb,657277,969,101.39823913574219,99.30261993408203,100.55999145507812,2026 YTD (n=969)
824850,HOU @ BAL,home,Chris Bassitt,605135,988,99.7071762084961,98.64826965332031,99.28361358642579,2026 YTD (n=988)
824850,HOU @ BAL,away,Peter Lambert,663567,570,99.21198272705078,97.10498809814453,98.36918487548829,2026 YTD (n=570)
